iter model_time time_step_prev dphi_dt_abs_max time_step_phi
290 7.334261e-01 9.042102e-04 1.173633e+01 9.042102e-04 
291 7.343303e-01 8.520549e-04 1.246998e+01 8.520549e-04 
292 7.351823e-01 8.019256e-04 1.326690e+01 8.019256e-04 
293 7.359842e-01 7.537558e-04 1.413459e+01 7.537558e-04 
294 7.367380e-01 7.074843e-04 1.508167e+01 7.074843e-04 
295 7.374455e-01 6.630566e-04 1.611806e+01 6.630566e-04 
296 7.381085e-01 6.204219e-04 1.725519e+01 6.204219e-04 
297 7.387290e-01 5.795357e-04 1.850641e+01 5.795357e-04 
298 7.393085e-01 5.403534e-04 1.988716e+01 5.403534e-04 
299 7.398489e-01 5.028370e-04 2.141561e+01 5.028370e-04 
300 7.403517e-01 4.669490e-04 2.311311e+01 4.669490e-04 
301 7.408186e-01 4.326549e-04 2.500488e+01 4.326549e-04 
302 7.412513e-01 3.999219e-04 2.712092e+01 3.999219e-04 
303 7.416512e-01 3.687190e-04 2.949706e+01 3.687190e-04 
304 7.420199e-01 3.390168e-04 3.217638e+01 3.390168e-04 
305 7.423590e-01 3.107870e-04 3.521096e+01 3.107870e-04 
306 7.426697e-01 2.840025e-04 3.866417e+01 2.840025e-04 
307 7.429537e-01 2.586374e-04 4.261378e+01 2.586374e-04 
308 7.432124e-01 2.346659e-04 4.715572e+01 2.346659e-04 
309 7.434470e-01 2.120634e-04 5.240939e+01 2.120634e-04 
310 7.436591e-01 1.908055e-04 5.852434e+01 1.908055e-04 
311 7.438499e-01 1.708691e-04 6.569040e+01 1.708691e-04 
312 7.440208e-01 1.522292e-04 7.414941e+01 1.522292e-04 
313 7.441730e-01 1.348628e-04 8.421443e+01 1.348628e-04 
314 7.443079e-01 1.187445e-04 9.629336e+01 1.187445e-04 
315 7.444266e-01 1.181474e-04 1.109255e+02 1.181474e-04 
316 7.445448e-01 1.181474e-04 1.315923e+02 1.181474e-04 
317 7.446629e-01 1.181474e-04 1.633028e+02 1.181474e-04 
318 7.447811e-01 1.181474e-04 2.182782e+02 1.181474e-04 
319 7.448992e-01 1.181474e-04 3.362206e+02 1.181474e-04 
320 7.450174e-01 1.181474e-04 7.366394e+02 1.181474e-04 
321 7.451355e-01 1.181474e-04 6.363520e+03 1.181474e-04 
322 7.452537e-01 1.181474e-04 4.089485e+00 1.181474e-04 
323 7.453718e-01 2.445296e-03 4.099344e+00 2.445296e-03 
324 7.478171e-01 2.439415e-03 4.310729e+00 2.439415e-03 
325 7.502565e-01 2.319793e-03 4.547143e+00 2.319793e-03 
326 7.525763e-01 2.199183e-03 4.800883e+00 2.199183e-03 
327 7.547755e-01 2.082950e-03 5.073199e+00 2.082950e-03 
328 7.568584e-01 1.971143e-03 5.366074e+00 1.971143e-03 
329 7.588296e-01 1.863560e-03 5.681775e+00 1.863560e-03 
330 7.606931e-01 1.760013e-03 6.022885e+00 1.760013e-03 
331 7.624532e-01 1.660334e-03 6.392348e+00 1.660334e-03 
332 7.641135e-01 1.564370e-03 6.793540e+00 1.564370e-03 
333 7.656779e-01 1.471987e-03 7.230316e+00 1.471987e-03 
334 7.671498e-01 1.383065e-03 7.707148e+00 1.383065e-03 
335 7.685329e-01 1.297497e-03 8.229188e+00 1.297497e-03 
336 7.698304e-01 1.215187e-03 8.802426e+00 1.215187e-03 
337 7.710456e-01 1.136050e-03 9.433841e+00 1.136050e-03 
338 7.721816e-01 1.060014e-03 1.013161e+01 1.060014e-03 
339 7.732417e-01 9.870101e-04 1.090535e+01 9.870101e-04 
340 7.742287e-01 9.169810e-04 1.176642e+01 9.169810e-04 
341 7.751456e-01 8.498764e-04 1.272831e+01 8.498764e-04 
342 7.759955e-01 7.856504e-04 1.380712e+01 7.856504e-04 
343 7.767812e-01 7.242638e-04 1.502223e+01 7.242638e-04 
344 7.775054e-01 6.656799e-04 1.639700e+01 6.656799e-04 
345 7.781711e-01 6.098676e-04 1.795979e+01 6.098676e-04 
346 7.787810e-01 5.567994e-04 1.974530e+01 5.567994e-04 
347 7.793378e-01 5.064495e-04 2.179637e+01 5.064495e-04 
348 7.798442e-01 4.587919e-04 2.416599e+01 4.587919e-04 
349 7.803030e-01 4.138047e-04 2.692063e+01 4.138047e-04 
350 7.807168e-01 3.714623e-04 3.014396e+01 3.714623e-04 
351 7.810883e-01 3.317414e-04 3.394275e+01 3.317414e-04 
352 7.814200e-01 2.946137e-04 3.845410e+01 2.946137e-04 
353 7.817146e-01 2.600503e-04 4.385629e+01 2.600503e-04 
354 7.819747e-01 2.280174e-04 5.038387e+01 2.280174e-04 
355 7.822027e-01 1.984762e-04 5.834909e+01 1.984762e-04 
356 7.824012e-01 1.713823e-04 6.817364e+01 1.713823e-04 
357 7.825726e-01 1.466843e-04 8.043550e+01 1.466843e-04 
358 7.827193e-01 1.243232e-04 9.593973e+01 1.243232e-04 
359 7.828436e-01 1.181474e-04 1.158290e+02 1.181474e-04 
360 7.829617e-01 1.181474e-04 1.457625e+02 1.181474e-04 
361 7.830799e-01 1.181474e-04 1.991576e+02 1.181474e-04 
362 7.831980e-01 1.181474e-04 3.194319e+02 1.181474e-04 
363 7.833162e-01 1.181474e-04 7.712980e+02 1.181474e-04 
364 7.834343e-01 1.181474e-04 3.031022e+03 1.181474e-04 
365 7.835525e-01 1.181474e-04 3.099104e+00 1.181474e-04 
366 7.836706e-01 3.226739e-03 3.104209e+00 3.226739e-03 
367 7.868974e-01 3.221433e-03 3.247636e+00 3.221433e-03 
368 7.901188e-01 3.079163e-03 3.405521e+00 3.079163e-03 
369 7.931979e-01 2.936409e-03 3.572844e+00 2.936409e-03 
370 7.961344e-01 2.798891e-03 3.750251e+00 2.798891e-03 
371 7.989332e-01 2.666488e-03 3.938791e+00 2.666488e-03 
372 8.015997e-01 2.538850e-03 4.139678e+00 2.538850e-03 
373 8.041386e-01 2.415647e-03 4.354300e+00 2.415647e-03 
374 8.065542e-01 2.296580e-03 4.584252e+00 2.296580e-03 
375 8.088508e-01 2.181381e-03 4.831371e+00 2.181381e-03 
376 8.110322e-01 2.069806e-03 5.097779e+00 2.069806e-03 
377 8.131020e-01 1.961638e-03 5.385936e+00 1.961638e-03 
378 8.150636e-01 1.856687e-03 5.698704e+00 1.856687e-03 
379 8.169203e-01 1.754785e-03 6.039424e+00 1.754785e-03 
380 8.186751e-01 1.655787e-03 6.412013e+00 1.655787e-03 
381 8.203309e-01 1.559573e-03 6.821075e+00 1.559573e-03 
382 8.218905e-01 1.466045e-03 7.272053e+00 1.466045e-03 
383 8.233565e-01 1.375128e-03 7.771399e+00 1.375128e-03 
384 8.247316e-01 1.286770e-03 8.326801e+00 1.286770e-03 
385 8.260184e-01 1.200941e-03 8.947461e+00 1.200941e-03 
386 8.272194e-01 1.117636e-03 9.644443e+00 1.117636e-03 
387 8.283370e-01 1.036866e-03 1.043113e+01 1.036866e-03 
388 8.293739e-01 9.586692e-04 1.132378e+01 9.586692e-04 
389 8.303325e-01 8.830974e-04 1.234227e+01 8.830974e-04 
390 8.312156e-01 8.102237e-04 1.351108e+01 8.102237e-04 
391 8.320258e-01 7.401332e-04 1.486053e+01 7.401332e-04 
392 8.327660e-01 6.729236e-04 1.642845e+01 6.729236e-04 
393 8.334389e-01 6.087001e-04 1.826243e+01 6.087001e-04 
394 8.340476e-01 5.475723e-04 2.042284e+01 5.475723e-04 
395 8.345952e-01 4.896479e-04 2.298703e+01 4.896479e-04 
