iter model_time time_step_prev dphi_dt_abs_max time_step_phi phi_integral
268 9.315084e-07 8.667916e-10 1.160541e+06 8.667916e-10 4.294800e-15
269 9.323701e-07 8.616671e-10 1.167442e+06 8.616671e-10 4.294118e-15
270 9.332266e-07 8.565734e-10 1.174384e+06 8.565734e-10 4.293438e-15
271 9.340781e-07 8.515103e-10 1.181366e+06 8.515103e-10 4.292760e-15
272 9.349246e-07 8.464776e-10 1.188390e+06 8.464776e-10 4.292084e-15
273 9.357661e-07 8.414749e-10 1.195454e+06 8.414749e-10 4.291409e-15
274 9.366026e-07 8.365020e-10 1.202561e+06 8.365020e-10 4.290736e-15
275 9.374341e-07 8.315586e-10 1.209710e+06 8.315586e-10 4.290065e-15
276 9.382608e-07 8.266446e-10 1.216901e+06 8.266446e-10 4.289396e-15
277 9.390826e-07 8.217596e-10 1.224135e+06 8.217596e-10 4.288728e-15
278 9.398995e-07 8.169034e-10 1.231412e+06 8.169034e-10 4.288062e-15
279 9.407115e-07 8.120758e-10 1.238733e+06 8.120758e-10 4.287399e-15
280 9.415188e-07 8.072765e-10 1.246098e+06 8.072765e-10 4.286737e-15
281 9.423213e-07 8.025053e-10 1.253507e+06 8.025053e-10 4.286077e-15
282 9.431191e-07 7.977620e-10 1.260960e+06 7.977620e-10 4.285418e-15
283 9.439121e-07 7.930463e-10 1.268459e+06 7.930463e-10 4.284762e-15
284 9.447005e-07 7.883580e-10 1.276003e+06 7.883580e-10 4.284108e-15
285 9.454842e-07 7.836970e-10 1.283593e+06 7.836970e-10 4.283455e-15
286 9.462632e-07 7.790629e-10 1.291230e+06 7.790629e-10 4.282804e-15
287 9.470377e-07 7.744555e-10 1.298913e+06 7.744555e-10 4.282155e-15
288 9.478076e-07 7.698748e-10 1.306642e+06 7.698748e-10 4.281508e-15
289 9.485729e-07 7.653203e-10 1.314420e+06 7.653203e-10 4.280863e-15
290 9.493337e-07 7.607920e-10 1.322245e+06 7.607920e-10 4.280220e-15
291 9.500900e-07 7.562896e-10 1.330118e+06 7.562896e-10 4.279579e-15
292 9.508418e-07 7.518130e-10 1.338040e+06 7.518130e-10 4.278940e-15
293 9.515891e-07 7.473618e-10 1.346011e+06 7.473618e-10 4.278302e-15
294 9.523321e-07 7.429360e-10 1.354031e+06 7.429360e-10 4.277667e-15
295 9.530706e-07 7.385353e-10 1.362102e+06 7.385353e-10 4.277033e-15
296 9.538048e-07 7.341596e-10 1.370222e+06 7.341596e-10 4.276402e-15
297 9.545346e-07 7.298086e-10 1.378394e+06 7.298086e-10 4.275772e-15
298 9.552601e-07 7.254822e-10 1.386616e+06 7.254822e-10 4.275145e-15
299 9.559812e-07 7.211802e-10 1.394890e+06 7.211802e-10 4.274519e-15
300 9.566982e-07 7.169024e-10 1.403216e+06 7.169024e-10 4.273895e-15
301 9.574108e-07 7.126486e-10 1.411595e+06 7.126486e-10 4.273273e-15
302 9.581192e-07 7.084186e-10 1.420026e+06 7.084186e-10 4.272654e-15
303 9.588234e-07 7.042123e-10 1.428511e+06 7.042123e-10 4.272036e-15
304 9.595235e-07 7.000295e-10 1.437050e+06 7.000295e-10 4.271420e-15
305 9.602193e-07 6.958700e-10 1.445643e+06 6.958700e-10 4.270806e-15
306 9.609111e-07 6.917337e-10 1.454291e+06 6.917337e-10 4.270195e-15
307 9.615987e-07 6.876204e-10 1.462994e+06 6.876204e-10 4.269585e-15
308 9.622822e-07 6.835298e-10 1.471753e+06 6.835298e-10 4.268977e-15
309 9.629617e-07 6.794620e-10 1.480568e+06 6.794620e-10 4.268371e-15
310 9.636371e-07 6.754166e-10 1.489439e+06 6.754166e-10 4.267767e-15
311 9.643085e-07 6.713935e-10 1.498368e+06 6.713935e-10 4.267166e-15
312 9.649759e-07 6.673927e-10 1.507355e+06 6.673927e-10 4.266566e-15
313 9.656393e-07 6.634138e-10 1.516399e+06 6.634138e-10 4.265968e-15
314 9.662987e-07 6.594568e-10 1.525503e+06 6.594568e-10 4.265373e-15
315 9.669543e-07 6.555216e-10 1.534665e+06 6.555216e-10 4.264779e-15
316 9.676059e-07 6.516079e-10 1.543887e+06 6.516079e-10 4.264187e-15
317 9.682536e-07 6.477156e-10 1.553170e+06 6.477156e-10 4.263598e-15
318 9.688974e-07 6.438446e-10 1.562513e+06 6.438446e-10 4.263010e-15
319 9.695374e-07 6.399947e-10 1.571917e+06 6.399947e-10 4.262425e-15
320 9.701736e-07 6.361658e-10 1.581383e+06 6.361658e-10 4.261842e-15
321 9.708060e-07 6.323577e-10 1.590912e+06 6.323577e-10 4.261260e-15
322 9.714345e-07 6.285704e-10 1.600503e+06 6.285704e-10 4.260681e-15
323 9.720593e-07 6.248035e-10 1.610158e+06 6.248035e-10 4.260104e-15
324 9.726804e-07 6.210571e-10 1.619876e+06 6.210571e-10 4.259529e-15
325 9.732977e-07 6.173310e-10 1.629660e+06 6.173310e-10 4.258955e-15
326 9.739113e-07 6.136251e-10 1.639508e+06 6.136251e-10 4.258384e-15
327 9.745213e-07 6.099391e-10 1.649422e+06 6.099391e-10 4.257815e-15
328 9.751276e-07 6.062731e-10 1.659402e+06 6.062731e-10 4.257249e-15
329 9.757302e-07 6.026268e-10 1.669449e+06 6.026268e-10 4.256684e-15
